Open,High,Low,Close,Adj Close,Volume
127.72000122070312,131.0500030517578,126.37999725341797,126.5999984741211,125.0982666015625,155088000
128.36000061035156,131.6300048828125,127.86000061035156,130.9199981689453,129.3670196533203,109578200
132.42999267578125,132.6300048828125,130.22999572753906,132.0500030517578,130.48362731933594,105158200
129.19000244140625,130.1699981689453,128.5,128.97999572753906,127.45004272460938,100384500
128.5,129.69000244140625,126.86000061035156,128.8000030517578,127.2721939086914,91951100
128.75999450683594,131.4499969482422,128.49000549316406,130.88999938964844,129.33738708496094,88636800
130.8000030517578,131.0,128.75999450683594,128.91000366210938,127.3808822631836,90221800
128.77999877929688,130.22000122070312,127.0,127.13999938964844,125.63186645507812,111598500
127.77999877929688,128.7100067138672,126.94000244140625,127.83000183105469,126.31369018554688,90757300
128.66000366210938,132.49000549316406,128.5500030517578,132.02999877929688,130.46388244628906,104319500
133.8000030517578,139.6699981689453,133.58999633789062,136.8699951171875,135.24642944335938,120150900
136.27999877929688,139.85000610351562,135.02000427246094,139.07000732421875,137.42037963867188,114459400
143.07000732421875,145.08999633789062,136.5399932861328,142.9199981689453,141.22467041015625,157611700
143.60000610351562,144.3000030517578,141.3699951171875,143.16000366210938,141.4618377685547,98390600
143.42999267578125,144.3000030517578,140.41000366210938,142.05999755859375,140.3748779296875,140843800
139.52000427246094,141.99000549316406,136.6999969482422,137.08999633789062,135.46383666992188,142621100
135.8300018310547,136.74000549316406,130.2100067138672,131.9600067138672,130.39471435546875,177523800
133.75,135.3800048828125,130.92999267578125,134.13999938964844,132.54884338378906,106239800
135.72999572753906,136.30999755859375,134.61000061035156,134.99000549316406,133.38876342773438,83305400
135.75999450683594,135.77000427246094,133.61000061035156,133.94000244140625,132.3511962890625,89880900
136.3000030517578,137.39999389648438,134.58999633789062,137.38999938964844,135.76026916503906,84183100
137.35000610351562,137.4199981689453,135.86000061035156,136.75999450683594,135.33969116210938,75693800
136.02999877929688,136.9600067138672,134.9199981689453,136.91000366210938,135.48814392089844,71297200
136.6199951171875,137.8800048828125,135.85000610351562,136.00999450683594,134.5974884033203,76774200
136.47999572753906,136.99000549316406,134.39999389648438,135.38999938964844,133.98391723632812,73046600
135.89999389648438,136.38999938964844,133.77000427246094,135.1300048828125,133.7266387939453,64280000
134.35000610351562,135.52999877929688,133.69000244140625,135.3699951171875,133.96414184570312,60145100
135.49000549316406,136.00999450683594,132.7899932861328,133.19000244140625,131.8067626953125,80576300
131.25,132.22000122070312,129.47000122070312,130.83999633789062,129.48117065429688,97918500
129.1999969482422,130.0,127.41000366210938,129.7100067138672,128.36293029785156,96856700
130.24000549316406,130.7100067138672,128.8000030517578,129.8699951171875,128.521240234375,87668800
128.00999450683594,129.72000122070312,125.5999984741211,126.0,124.69144439697266,103916400
123.76000213623047,126.70999908447266,118.38999938964844,125.86000061035156,124.55290985107422,158273000
124.94000244140625,125.55999755859375,122.2300033569336,125.3499984741211,124.0481948852539,111039900
124.68000030517578,126.45999908447266,120.54000091552734,120.98999786376953,119.73347473144531,148199500
122.58999633789062,124.8499984741211,121.19999694824219,121.26000213623047,120.00067901611328,164560400
123.75,127.93000030517578,122.79000091552734,127.79000091552734,126.46284484863281,116307900
128.41000366210938,128.72000122070312,125.01000213623047,125.12000274658203,123.82058715820312,102260900
124.80999755859375,125.70999908447266,121.83999633789062,122.05999755859375,120.7923583984375,112966300
121.75,123.5999984741211,118.62000274658203,120.12999725341797,118.88240051269531,178155000
120.9800033569336,121.94000244140625,117.56999969482422,121.41999816894531,120.15899658203125,153766600
120.93000030517578,121.0,116.20999908447266,116.36000061035156,115.15156555175781,154376600
119.02999877929688,122.05999755859375,118.79000091552734,121.08999633789062,119.83242797851562,129525800
121.69000244140625,122.16999816894531,119.44999694824219,119.9800033569336,118.73397064208984,111943300
122.54000091552734,123.20999908447266,121.26000213623047,121.95999908447266,120.69339752197266,103026500
120.4000015258789,121.16999816894531,119.16000366210938,121.02999877929688,119.77305603027344,88105100
121.41000366210938,124.0,120.41999816894531,123.98999786376953,122.70231628417969,92403800
125.69999694824219,127.22000122070312,124.72000122070312,125.56999969482422,124.26590728759766,115227900
124.05000305175781,125.86000061035156,122.33999633789062,124.76000213623047,123.46431732177734,111932600
122.87999725341797,123.18000030517578,120.31999969482422,120.52999877929688,119.27824401855469,121229700
119.9000015258789,121.43000030517578,119.68000030517578,119.98999786376953,118.74385070800781,185549500
120.33000183105469,123.87000274658203,120.26000213623047,123.38999938964844,122.1085433959961,111912300
123.33000183105469,124.23999786376953,122.13999938964844,122.54000091552734,121.26737213134766,95467100
122.81999969482422,122.9000015258789,120.06999969482422,120.08999633789062,118.84281158447266,88530500
119.54000091552734,121.66000366210938,119.0,120.58999633789062,119.3376235961914,98844700
120.3499984741211,121.4800033569336,118.91999816894531,121.20999908447266,119.95118713378906,94071200
121.6500015258789,122.58000183105469,120.7300033569336,121.38999938964844,120.12932586669922,80819200
120.11000061035156,120.4000015258789,118.86000061035156,119.9000015258789,118.65479278564453,85671900
121.6500015258789,123.5199966430664,121.1500015258789,122.1500015258789,120.88143157958984,118323800
123.66000366210938,124.18000030517578,122.48999786376953,123.0,121.72260284423828,75089100
123.87000274658203,126.16000366210938,123.06999969482422,125.9000015258789,124.59249114990234,88651200
126.5,127.12999725341797,125.6500015258789,126.20999908447266,124.89925384521484,80171300
125.83000183105469,127.91999816894531,125.13999938964844,127.9000015258789,126.57171630859375,83466700
128.9499969482422,130.38999938964844,128.52000427246094,130.36000061035156,129.00616455078125,88844600
