age_range,experience_years,hours_per_week,ref_source_LinkedIn,ref_source_Twitter,ref_source_WhatsApp,ref_source_Word of mouth,ref_source_through a geeks for geeks webinar,main_aim_Connect with fellow data professionals,main_aim_Learn data afresh,main_aim_Upskill,main_aim_both upskilling and connecting with fellow data professionals,gender,country,track,aptitude_completed,total_score,month,motivation_len,graduated_num
1.0,0.12346471104127647,0.27337256862717096,-0.1743779858259087,0.48564293117863194,-0.262277159081954,0.02365675018317802,-0.09230925291687624,0.01645133606725523,-0.26363473406840016,0.24945513919971554,-0.09230925291687624,-0.13474770886266482,0.11538656614609526,-0.01645133606725513,-0.16451336067255246,0.3199577406279589,-0.08798446275141401,-0.1079127249154956,-0.04063180276860003
0.12346471104127647,1.0,0.061658086163610695,-0.09891584831523878,0.33113913454360755,-0.09230223079880914,-0.1665086523737407,-0.08121513514008279,-0.0018092680848855237,-0.24568387401622482,0.2547472593261511,-0.08121513514008279,0.19458181259252944,-0.08121513514008274,-0.11217462126290342,0.11579315743267458,0.1686205691665021,-0.058748749213820214,0.1010332775987159,0.20555387655340918
0.27337256862717096,0.061658086163610695,1.0,0.1532589197696066,0.10903797994293224,-0.03680452470251774,-0.2755331890595876,-0.032383664204138206,0.0992682515405903,-0.013629747492866568,-0.010001500337584351,-0.032383664204138206,-0.058370396709673825,-0.03238366420413817,-0.24470778286750164,-0.09926825154059024,0.1238281054204926,0.05644151564780914,0.12623141638727423,0.03706126092186208
-0.1743779858259087,-0.09891584831523878,0.1532589197696066,1.0,-0.18898223650461363,-0.4082482904638628,-0.09205746178983232,-0.04490132550669373,-0.06401843996644799,0.05399492471560388,-0.034668762264076815,-0.04490132550669373,-0.1937833198497101,-0.04490132550669374,-0.22406453988256786,0.06401843996644797,-0.02703327150600339,-0.2078742949189203,-0.021057817483395996,0.039528470752104757
0.48564293117863194,0.33113913454360755,0.10903797994293224,-0.18898223650461363,1.0,-0.6172133998483679,-0.13917780012784423,-0.06788442333021309,-0.09678678369916546,-0.2857142857142857,0.34069257193462354,-0.06788442333021309,-0.060317937947625785,-0.06788442333021308,-0.12098347962395672,-0.12098347962395677,0.2153586377636975,-0.23108558332704263,-0.10555475736683807,0.05976143046671964
-0.262277159081954,-0.09230223079880914,-0.03680452470251774,-0.4082482904638628,-0.6172133998483679,1.0,-0.3006584112011315,-0.14664711502135327,0.15681251204679503,0.1543033499620919,-0.21701976487771413,-0.14664711502135327,0.07445807910499401,0.10998533626601491,0.20908334939572662,0.026135418674465883,-0.12100033060427201,0.19968076595771805,-0.01012699594761386,-0.11834115780078214
0.02365675018317802,-0.1665086523737407,-0.2755331890595876,-0.09205746178983232,-0.13917780012784423,-0.3006584112011315,1.0,-0.03306801645716227,-0.0471470007284477,0.17397225015980522,-0.06383036514852068,-0.03306801645716227,0.046172048514891054,-0.033068016457162286,0.04714700072844776,0.047147000728447575,-0.08501003047048396,0.1711017502447765,0.0550692866229776,0.007277781371744767
-0.09230925291687624,-0.08121513514008279,-0.032383664204138206,-0.04490132550669373,-0.06788442333021309,-0.14664711502135327,-0.03306801645716227,1.0,-0.022996102490913696,-0.06788442333021306,-0.1618940314506833,1.0,0.15150199205955966,-0.016129032258064526,0.02299610249091366,0.022996102490913654,0.08963600864642515,0.08345543352091687,0.1691294432234266,0.22718473369882597
0.01645133606725523,-0.0018092680848855237,0.0992682515405903,-0.06401843996644799,-0.09678678369916546,0.15681251204679503,-0.0471470007284477,-0.022996102490913696,1.0,-0.09678678369916545,-0.23082176787424136,-0.022996102490913696,-0.15178745954623013,-0.022996102490913703,0.03278688524590165,0.03278688524590155,0.014451418146372332,0.11898728156557999,-0.0018323534700381205,0.11134424539960092
-0.26363473406840016,-0.24568387401622482,-0.013629747492866568,0.05399492471560388,-0.2857142857142857,0.1543033499620919,0.17397225015980522,-0.06788442333021306,-0.09678678369916545,1.0,-0.6813851438692468,-0.06788442333021306,0.09478533106055484,-0.06788442333021306,0.09678678369916537,0.09678678369916552,-0.03815876447249074,0.018486846666163317,0.002472732236997673,-0.11952286093343932
