Date, Open, High, Low, Close, Volume
2015-01-04,12.58,12.82,12.4033,12.506,56919373.46
2015-01-05,15.3293,15.4513,14.6937,15.0687,79225401.36
2015-01-06,16.7606,16.7733,16.498,16.63,37575893.59
2015-01-07,18.074,18.1746,17.8567,17.9433,31518392.37
2015-01-09,16.0227,16.4,15.798,15.9087,81821559.03
2015-01-10,16.5006,16.5666,15.8087,15.992,68594530.45
2015-01-12,15.404,15.8667,15.4033,15.8127,56009382.52
2015-01-13,13.5547,13.8407,13.3941,13.6167,67159868.97
2015-01-14,12.3887,13.0133,12.3333,12.846,173278063.0
2015-01-15,12.966,13.05,12.6667,12.7913,78247925.36
2015-01-16,12.7133,12.966,12.6433,12.8713,54047425.51
2015-01-20,12.9247,12.9413,12.4693,12.7953,67547799.37
2015-01-21,12.6367,13.2453,12.634,13.1047,62295708.98
2015-01-22,13.1333,13.5493,13.0133,13.4413,61753638.42
2015-01-23,13.3527,13.5667,13.222,13.4193,51635618.03
2015-01-26,13.4553,13.908,13.4033,13.77,48517879.83
2015-01-27,13.628,13.8687,13.5533,13.732,41715402.84
2015-01-28,13.7407,13.7579,13.228,13.2913,47244138.52
2015-01-29,13.4047,13.732,13.1,13.68,53221644.66
2015-01-30,13.5973,13.8313,13.5333,13.5733,45104431.32
2015-02-01,14.858,14.8833,14.2173,14.6207,71466703.4
2015-02-02,13.598,14.13,13.5533,14.0627,62237853.92
2015-02-03,13.5133,13.556,13.055,13.155,118831067.0
2015-02-04,12.682,12.882,12.6667,12.7333,75155597.18
2015-02-06,16.5946,16.6266,16.42,16.5566,32022167.89
2015-02-07,18.6796,18.83,18.2206,18.668,107459060.4
2015-02-09,16.3533,16.5253,15.9853,16.5126,69437681.31
2015-02-10,15.7067,16.5133,15.662,16.5046,66359798.15
2015-02-11,13.928,14.3867,13.8147,14.2527,58919220.51
2015-02-12,15.8,15.9067,15.4153,15.466,44722065.93
2015-02-13,13.5267,13.7327,13.394,13.5847,92865140.37
